[array([ 0.,  0.,  0., 64.])]:[array([3.70000e+01, 3.24415e+05, 8.57900e+03, 8.57900e+03])]:[array([    0., 51835., 12653., 12653.])]:[array([1.0000e+00, 1.1021e+04, 4.7490e+03, 4.7490e+03])]:[array([    0., 10902.,  1492.,  1492.])]:[array([    0., 13568., 14357., 14357.])]:[array([    0., 31532., 13231., 13231.])]:[array([   0., 7896., 1429., 1429.])]:[array([2.00000e+00, 1.18733e+05, 1.84810e+04, 1.84810e+04])]:
[array([ 0.,  0., 64.,  0.])]:[array([324415.,   8579.,   8579., 798467.])]:[array([51835., 12653., 12653., 66707.])]:[array([11021.,  4749.,  4749., 16881.])]:[array([10902.,  1492.,  1492.,  2329.])]:[array([13568., 14357., 14357., 60967.])]:[array([31532., 13231., 13231., 30889.])]:[array([7896., 1429., 1429., 6521.])]:[array([118733.,  18481.,  18481., 244784.])]:
[array([ 0., 64.,  0., 94.])]:[array([  8579.,   8579., 798467., 798467.])]:[array([12653., 12653., 66707., 66707.])]:[array([ 4749.,  4749., 16881., 16881.])]:[array([1492., 1492., 2329., 2329.])]:[array([14357., 14357., 60967., 60967.])]:[array([13231., 13231., 30889., 30889.])]:[array([1429., 1429., 6521., 6521.])]:[array([ 18481.,  18481., 244784., 244784.])]:
[array([64.,  0., 94.,  0.])]:[array([  8579., 798467., 798467., 947824.])]:[array([12653., 66707., 66707., 25491.])]:[array([ 4749., 16881., 16881., 21168.])]:[array([1492., 2329., 2329., 1385.])]:[array([14357., 60967., 60967., 50289.])]:[array([13231., 30889., 30889.,  8261.])]:[array([1429., 6521., 6521., 6253.])]:[array([ 18481., 244784., 244784., 322377.])]:
[array([ 0., 94.,  0., 99.])]:[array([798467., 798467., 947824., 947824.])]:[array([66707., 66707., 25491., 25491.])]:[array([16881., 16881., 21168., 21168.])]:[array([2329., 2329., 1385., 1385.])]:[array([60967., 60967., 50289., 50289.])]:[array([30889., 30889.,  8261.,  8261.])]:[array([6521., 6521., 6253., 6253.])]:[array([244784., 244784., 322377., 322377.])]:
[array([94.,  0., 99., 97.])]:[array([798467., 947824., 947824., 947824.])]:[array([66707., 25491., 25491., 25491.])]:[array([16881., 21168., 21168., 21168.])]:[array([2329., 1385., 1385., 1385.])]:[array([60967., 50289., 50289., 50289.])]:[array([30889.,  8261.,  8261.,  8261.])]:[array([6521., 6253., 6253., 6253.])]:[array([244784., 322377., 322377., 322377.])]:
[array([ 0., 99., 97.,  0.])]:[array([ 947824.,  947824.,  947824., 1432251.])]:[array([25491., 25491., 25491., 20209.])]:[array([21168., 21168., 21168., 20416.])]:[array([1385., 1385., 1385., 3297.])]:[array([50289., 50289., 50289., 32408.])]:[array([ 8261.,  8261.,  8261., 67161.])]:[array([ 6253.,  6253.,  6253., 11519.])]:[array([322377., 322377., 322377., 417808.])]:
[array([99., 97.,  0.,  0.])]:[array([ 947824.,  947824., 1432251.,    6184.])]:[array([25491., 25491., 20209., 13719.])]:[array([21168., 21168., 20416., 13327.])]:[array([1385., 1385., 3297., 1421.])]:[array([50289., 50289., 32408., 31837.])]:[array([ 8261.,  8261., 67161., 13433.])]:[array([ 6253.,  6253., 11519.,  4906.])]:[array([322377., 322377., 417808.,  54506.])]:
[array([97.,  0.,  0.,  0.])]:[array([ 947824., 1432251.,    6184.,   28575.])]:[array([25491., 20209., 13719., 18061.])]:[array([21168., 20416., 13327.,  7097.])]:[array([1385., 3297., 1421., 1588.])]:[array([50289., 32408., 31837.,  6314.])]:[array([ 8261., 67161., 13433., 15345.])]:[array([ 6253., 11519.,  4906.,  1321.])]:[array([322377., 417808.,  54506.,  29623.])]:
[array([0., 0., 0., 0.])]:[array([1432251.,    6184.,   28575.,   13204.])]:[array([20209., 13719., 18061., 20976.])]:[array([20416., 13327.,  7097.,  6702.])]:[array([3297., 1421., 1588., 1071.])]:[array([32408., 31837.,  6314., 13913.])]:[array([67161., 13433., 15345., 10256.])]:[array([11519.,  4906.,  1321.,  2416.])]:[array([417808.,  54506.,  29623.,  21745.])]:
