[array([ 0.,  0., 59.,  0.])]:[array([4.00000e+00, 6.80930e+05, 6.80930e+05, 3.90199e+05])]:[array([1.0000e+00, 4.6919e+04, 4.6919e+04, 8.9470e+03])]:[array([1.0000e+00, 1.5024e+04, 1.5024e+04, 1.0392e+04])]:[array([1.0000e+00, 1.0967e+04, 1.0967e+04, 1.4360e+03])]:[array([    0., 62176., 62176., 90962.])]:[array([1.0000e+00, 2.0385e+04, 2.0385e+04, 1.1301e+04])]:[array([1.000e+00, 4.846e+03, 4.846e+03, 3.724e+03])]:[array([     0., 116180., 116180., 454140.])]:
[array([ 0., 59.,  0.,  0.])]:[array([680930., 680930., 390199.,   9646.])]:[array([46919., 46919.,  8947.,  5200.])]:[array([15024., 15024., 10392.,  4727.])]:[array([10967., 10967.,  1436.,   501.])]:[array([62176., 62176., 90962.,  9850.])]:[array([20385., 20385., 11301.,  3256.])]:[array([4846., 4846., 3724.,  634.])]:[array([116180., 116180., 454140.,   5278.])]:
[array([ 59.,   0.,   0., 173.])]:[array([680930., 390199.,   9646.,   9646.])]:[array([46919.,  8947.,  5200.,  5200.])]:[array([15024., 10392.,  4727.,  4727.])]:[array([10967.,  1436.,   501.,   501.])]:[array([62176., 90962.,  9850.,  9850.])]:[array([20385., 11301.,  3256.,  3256.])]:[array([4846., 3724.,  634.,  634.])]:[array([116180., 454140.,   5278.,   5278.])]:
[array([  0.,   0., 173.,   0.])]:[array([390199.,   9646.,   9646., 240148.])]:[array([ 8947.,  5200.,  5200., 29239.])]:[array([10392.,  4727.,  4727., 14483.])]:[array([1436.,  501.,  501., 1118.])]:[array([90962.,  9850.,  9850., 33247.])]:[array([11301.,  3256.,  3256., 15904.])]:[array([3724.,  634.,  634., 1892.])]:[array([454140.,   5278.,   5278.,  61642.])]:
[array([  0., 173.,   0.,   0.])]:[array([   9646.,    9646.,  240148., 1098908.])]:[array([ 5200.,  5200., 29239., 80357.])]:[array([ 4727.,  4727., 14483., 29450.])]:[array([ 501.,  501., 1118., 1039.])]:[array([  9850.,   9850.,  33247., 111975.])]:[array([ 3256.,  3256., 15904., 30299.])]:[array([ 634.,  634., 1892., 2468.])]:[array([  5278.,   5278.,  61642., 101784.])]:
[array([173.,   0.,   0., 225.])]:[array([   9646.,  240148., 1098908., 1098908.])]:[array([ 5200., 29239., 80357., 80357.])]:[array([ 4727., 14483., 29450., 29450.])]:[array([ 501., 1118., 1039., 1039.])]:[array([  9850.,  33247., 111975., 111975.])]:[array([ 3256., 15904., 30299., 30299.])]:[array([ 634., 1892., 2468., 2468.])]:[array([  5278.,  61642., 101784., 101784.])]:
[array([  0.,   0., 225.,   0.])]:[array([ 240148., 1098908., 1098908., 2394061.])]:[array([29239., 80357., 80357., 47557.])]:[array([14483., 29450., 29450., 18754.])]:[array([1118., 1039., 1039., 9121.])]:[array([ 33247., 111975., 111975.,  32460.])]:[array([15904., 30299., 30299.,  5866.])]:[array([ 1892.,  2468.,  2468., 17375.])]:[array([ 61642., 101784., 101784., 383295.])]:
[array([  0., 225.,   0.,   0.])]:[array([1098908., 1098908., 2394061.,   29967.])]:[array([80357., 80357., 47557.,  1760.])]:[array([29450., 29450., 18754.,  4737.])]:[array([1039., 1039., 9121.,  491.])]:[array([111975., 111975.,  32460.,   4831.])]:[array([30299., 30299.,  5866.,  1984.])]:[array([ 2468.,  2468., 17375.,  1603.])]:[array([101784., 101784., 383295.,  22848.])]:
[array([225.,   0.,   0.,   0.])]:[array([1098908., 2394061.,   29967.,    3491.])]:[array([80357., 47557.,  1760.,  2648.])]:[array([29450., 18754.,  4737.,  1723.])]:[array([1039., 9121.,  491.,  281.])]:[array([111975.,  32460.,   4831.,   4633.])]:[array([30299.,  5866.,  1984.,  2395.])]:[array([ 2468., 17375.,  1603.,  1636.])]:[array([101784., 383295.,  22848.,    749.])]:
[array([ 0.,  0.,  0., 62.])]:[array([2394061.,   29967.,    3491.,    3491.])]:[array([47557.,  1760.,  2648.,  2648.])]:[array([18754.,  4737.,  1723.,  1723.])]:[array([9121.,  491.,  281.,  281.])]:[array([32460.,  4831.,  4633.,  4633.])]:[array([5866., 1984., 2395., 2395.])]:[array([17375.,  1603.,  1636.,  1636.])]:[array([383295.,  22848.,    749.,    749.])]:
