[array([  0.,   0.,   0., 184.])]:[array([6.30000e+01, 2.70829e+05, 2.16720e+04, 2.16720e+04])]:[array([    0., 20644., 10065., 10065.])]:[array([1.000e+00, 9.308e+03, 4.327e+03, 4.327e+03])]:[array([   0., 2112., 2950., 2950.])]:[array([    0., 15221.,  7463.,  7463.])]:[array([   0., 7378., 2790., 2790.])]:[array([   0., 3040., 2206., 2206.])]:[array([1.00000e+00, 1.39095e+05, 2.75360e+04, 2.75360e+04])]:
[array([  0.,   0., 184.,   0.])]:[array([ 270829.,   21672.,   21672., 1715254.])]:[array([20644., 10065., 10065.,  5698.])]:[array([9308., 4327., 4327., 5715.])]:[array([2112., 2950., 2950.,  867.])]:[array([15221.,  7463.,  7463.,  3226.])]:[array([7378., 2790., 2790., 7306.])]:[array([3040., 2206., 2206., 1204.])]:[array([139095.,  27536.,  27536.,  21257.])]:
[array([  0., 184.,   0.,   0.])]:[array([  21672.,   21672., 1715254.,    6420.])]:[array([10065., 10065.,  5698.,  9246.])]:[array([4327., 4327., 5715., 7878.])]:[array([2950., 2950.,  867., 1685.])]:[array([ 7463.,  7463.,  3226., 20748.])]:[array([2790., 2790., 7306., 6044.])]:[array([2206., 2206., 1204., 4036.])]:[array([27536., 27536., 21257., 36316.])]:
[array([184.,   0.,   0.,  43.])]:[array([  21672., 1715254.,    6420.,    6420.])]:[array([10065.,  5698.,  9246.,  9246.])]:[array([4327., 5715., 7878., 7878.])]:[array([2950.,  867., 1685., 1685.])]:[array([ 7463.,  3226., 20748., 20748.])]:[array([2790., 7306., 6044., 6044.])]:[array([2206., 1204., 4036., 4036.])]:[array([27536., 21257., 36316., 36316.])]:
[array([ 0.,  0., 43.,  0.])]:[array([1715254.,    6420.,    6420.,  145836.])]:[array([5698., 9246., 9246., 5090.])]:[array([5715., 7878., 7878., 1605.])]:[array([ 867., 1685., 1685.,  193.])]:[array([ 3226., 20748., 20748.,  4822.])]:[array([7306., 6044., 6044., 5572.])]:[array([1204., 4036., 4036.,  652.])]:[array([21257., 36316., 36316., 62923.])]:
[array([  0.,  43.,   0., 161.])]:[array([  6420.,   6420., 145836., 145836.])]:[array([9246., 9246., 5090., 5090.])]:[array([7878., 7878., 1605., 1605.])]:[array([1685., 1685.,  193.,  193.])]:[array([20748., 20748.,  4822.,  4822.])]:[array([6044., 6044., 5572., 5572.])]:[array([4036., 4036.,  652.,  652.])]:[array([36316., 36316., 62923., 62923.])]:
[array([ 43.,   0., 161., 150.])]:[array([  6420., 145836., 145836., 145836.])]:[array([9246., 5090., 5090., 5090.])]:[array([7878., 1605., 1605., 1605.])]:[array([1685.,  193.,  193.,  193.])]:[array([20748.,  4822.,  4822.,  4822.])]:[array([6044., 5572., 5572., 5572.])]:[array([4036.,  652.,  652.,  652.])]:[array([36316., 62923., 62923., 62923.])]:
[array([  0., 161., 150.,  93.])]:[array([145836., 145836., 145836., 145836.])]:[array([5090., 5090., 5090., 5090.])]:[array([1605., 1605., 1605., 1605.])]:[array([193., 193., 193., 193.])]:[array([4822., 4822., 4822., 4822.])]:[array([5572., 5572., 5572., 5572.])]:[array([652., 652., 652., 652.])]:[array([62923., 62923., 62923., 62923.])]:
[array([161., 150.,  93.,   0.])]:[array([145836., 145836., 145836., 267193.])]:[array([5090., 5090., 5090., 7212.])]:[array([1605., 1605., 1605., 8368.])]:[array([193., 193., 193., 477.])]:[array([ 4822.,  4822.,  4822., 19665.])]:[array([ 5572.,  5572.,  5572., 12003.])]:[array([ 652.,  652.,  652., 1718.])]:[array([62923., 62923., 62923., 48713.])]:
[array([150.,  93.,   0.,   0.])]:[array([145836., 145836., 267193.,  11078.])]:[array([ 5090.,  5090.,  7212., 12936.])]:[array([ 1605.,  1605.,  8368., 10221.])]:[array([ 193.,  193.,  477., 2059.])]:[array([ 4822.,  4822., 19665.,  8248.])]:[array([ 5572.,  5572., 12003., 14710.])]:[array([ 652.,  652., 1718., 5664.])]:[array([62923., 62923., 48713., 43876.])]:
