[array([ 0.,  0., 97.,  0.])]:[array([2.00000e+00, 3.81719e+05, 3.81719e+05, 2.04798e+05])]:[array([    0.,  8859.,  8859., 17114.])]:[array([2.000e+00, 4.707e+03, 4.707e+03, 1.904e+04])]:[array([   0.,  998.,  998., 3669.])]:[array([    0., 20712., 20712., 22338.])]:[array([1.0000e+00, 1.0072e+04, 1.0072e+04, 1.4451e+04])]:[array([1.000e+00, 3.393e+03, 3.393e+03, 9.143e+03])]:[array([     0.,  46606.,  46606., 162459.])]:
[array([  0.,  97.,   0., 132.])]:[array([381719., 381719., 204798., 204798.])]:[array([ 8859.,  8859., 17114., 17114.])]:[array([ 4707.,  4707., 19040., 19040.])]:[array([ 998.,  998., 3669., 3669.])]:[array([20712., 20712., 22338., 22338.])]:[array([10072., 10072., 14451., 14451.])]:[array([3393., 3393., 9143., 9143.])]:[array([ 46606.,  46606., 162459., 162459.])]:
[array([ 97.,   0., 132.,   0.])]:[array([381719., 204798., 204798., 673564.])]:[array([ 8859., 17114., 17114.,  3396.])]:[array([ 4707., 19040., 19040.,  1066.])]:[array([ 998., 3669., 3669.,  484.])]:[array([20712., 22338., 22338.,  5782.])]:[array([10072., 14451., 14451.,  1988.])]:[array([3393., 9143., 9143.,  894.])]:[array([ 46606., 162459., 162459.,  14756.])]:
[array([  0., 132.,   0., 110.])]:[array([204798., 204798., 673564., 673564.])]:[array([17114., 17114.,  3396.,  3396.])]:[array([19040., 19040.,  1066.,  1066.])]:[array([3669., 3669.,  484.,  484.])]:[array([22338., 22338.,  5782.,  5782.])]:[array([14451., 14451.,  1988.,  1988.])]:[array([9143., 9143.,  894.,  894.])]:[array([162459., 162459.,  14756.,  14756.])]:
[array([132.,   0., 110.,  91.])]:[array([204798., 673564., 673564., 673564.])]:[array([17114.,  3396.,  3396.,  3396.])]:[array([19040.,  1066.,  1066.,  1066.])]:[array([3669.,  484.,  484.,  484.])]:[array([22338.,  5782.,  5782.,  5782.])]:[array([14451.,  1988.,  1988.,  1988.])]:[array([9143.,  894.,  894.,  894.])]:[array([162459.,  14756.,  14756.,  14756.])]:
[array([  0., 110.,  91.,   0.])]:[array([673564., 673564., 673564., 237393.])]:[array([3396., 3396., 3396., 2521.])]:[array([1066., 1066., 1066., 4230.])]:[array([ 484.,  484.,  484., 1768.])]:[array([5782., 5782., 5782., 5937.])]:[array([1988., 1988., 1988., 1940.])]:[array([ 894.,  894.,  894., 5094.])]:[array([14756., 14756., 14756., 29319.])]:
[array([110.,  91.,   0.,   0.])]:[array([673564., 673564., 237393.,  16441.])]:[array([ 3396.,  3396.,  2521., 11873.])]:[array([1066., 1066., 4230., 8822.])]:[array([ 484.,  484., 1768., 2821.])]:[array([ 5782.,  5782.,  5937., 12871.])]:[array([ 1988.,  1988.,  1940., 18986.])]:[array([ 894.,  894., 5094., 3086.])]:[array([14756., 14756., 29319., 62761.])]:
[array([ 91.,   0.,   0., 141.])]:[array([673564., 237393.,  16441.,  16441.])]:[array([ 3396.,  2521., 11873., 11873.])]:[array([1066., 4230., 8822., 8822.])]:[array([ 484., 1768., 2821., 2821.])]:[array([ 5782.,  5937., 12871., 12871.])]:[array([ 1988.,  1940., 18986., 18986.])]:[array([ 894., 5094., 3086., 3086.])]:[array([14756., 29319., 62761., 62761.])]:
[array([  0.,   0., 141.,  80.])]:[array([237393.,  16441.,  16441.,  16441.])]:[array([ 2521., 11873., 11873., 11873.])]:[array([4230., 8822., 8822., 8822.])]:[array([1768., 2821., 2821., 2821.])]:[array([ 5937., 12871., 12871., 12871.])]:[array([ 1940., 18986., 18986., 18986.])]:[array([5094., 3086., 3086., 3086.])]:[array([29319., 62761., 62761., 62761.])]:
[array([  0., 141.,  80.,   0.])]:[array([  16441.,   16441.,   16441., 1309393.])]:[array([ 11873.,  11873.,  11873., 204111.])]:[array([ 8822.,  8822.,  8822., 36160.])]:[array([2821., 2821., 2821., 8414.])]:[array([12871., 12871., 12871., 85913.])]:[array([18986., 18986., 18986., 34186.])]:[array([ 3086.,  3086.,  3086., 33877.])]:[array([ 62761.,  62761.,  62761., 435580.])]:
