[array([  0.,   0.,   0., 193.])]:[array([5.20000e+01, 7.34318e+05, 7.18200e+03, 7.18200e+03])]:[array([2.0000e+00, 1.9608e+04, 1.5400e+04, 1.5400e+04])]:[array([    0., 20161.,  2823.,  2823.])]:[array([   0., 8701.,  893.,  893.])]:[array([1.0000e+00, 2.4128e+04, 1.6882e+04, 1.6882e+04])]:[array([    0., 13020., 12636., 12636.])]:[array([    0., 10068.,  1335.,  1335.])]:[array([2.00000e+00, 1.47821e+05, 4.57910e+04, 4.57910e+04])]:
[array([  0.,   0., 193.,   0.])]:[array([734318.,   7182.,   7182., 295898.])]:[array([19608., 15400., 15400., 62277.])]:[array([20161.,  2823.,  2823.,  7011.])]:[array([8701.,  893.,  893., 1842.])]:[array([24128., 16882., 16882., 57526.])]:[array([13020., 12636., 12636., 39711.])]:[array([10068.,  1335.,  1335.,  1859.])]:[array([147821.,  45791.,  45791.,  38186.])]:
[array([  0., 193.,   0., 108.])]:[array([  7182.,   7182., 295898., 295898.])]:[array([15400., 15400., 62277., 62277.])]:[array([2823., 2823., 7011., 7011.])]:[array([ 893.,  893., 1842., 1842.])]:[array([16882., 16882., 57526., 57526.])]:[array([12636., 12636., 39711., 39711.])]:[array([1335., 1335., 1859., 1859.])]:[array([45791., 45791., 38186., 38186.])]:
[array([193.,   0., 108.,   0.])]:[array([  7182., 295898., 295898.,  33986.])]:[array([15400., 62277., 62277.,  4100.])]:[array([2823., 7011., 7011., 7506.])]:[array([ 893., 1842., 1842.,  882.])]:[array([16882., 57526., 57526.,  3531.])]:[array([12636., 39711., 39711., 10008.])]:[array([1335., 1859., 1859., 1460.])]:[array([45791., 38186., 38186., 30311.])]:
[array([  0., 108.,   0., 186.])]:[array([295898., 295898.,  33986.,  33986.])]:[array([62277., 62277.,  4100.,  4100.])]:[array([7011., 7011., 7506., 7506.])]:[array([1842., 1842.,  882.,  882.])]:[array([57526., 57526.,  3531.,  3531.])]:[array([39711., 39711., 10008., 10008.])]:[array([1859., 1859., 1460., 1460.])]:[array([38186., 38186., 30311., 30311.])]:
[array([108.,   0., 186.,  95.])]:[array([295898.,  33986.,  33986.,  33986.])]:[array([62277.,  4100.,  4100.,  4100.])]:[array([7011., 7506., 7506., 7506.])]:[array([1842.,  882.,  882.,  882.])]:[array([57526.,  3531.,  3531.,  3531.])]:[array([39711., 10008., 10008., 10008.])]:[array([1859., 1460., 1460., 1460.])]:[array([38186., 30311., 30311., 30311.])]:
[array([  0., 186.,  95.,   0.])]:[array([ 33986.,  33986.,  33986., 347540.])]:[array([4100., 4100., 4100., 4102.])]:[array([7506., 7506., 7506., 2283.])]:[array([882., 882., 882., 581.])]:[array([3531., 3531., 3531., 5086.])]:[array([10008., 10008., 10008.,  2890.])]:[array([1460., 1460., 1460.,  504.])]:[array([30311., 30311., 30311., 31501.])]:
[array([186.,  95.,   0.,  54.])]:[array([ 33986.,  33986., 347540., 347540.])]:[array([4100., 4100., 4102., 4102.])]:[array([7506., 7506., 2283., 2283.])]:[array([882., 882., 581., 581.])]:[array([3531., 3531., 5086., 5086.])]:[array([10008., 10008.,  2890.,  2890.])]:[array([1460., 1460.,  504.,  504.])]:[array([30311., 30311., 31501., 31501.])]:
[array([95.,  0., 54.,  0.])]:[array([  33986.,  347540.,  347540., 1218196.])]:[array([ 4100.,  4102.,  4102., 68934.])]:[array([ 7506.,  2283.,  2283., 27426.])]:[array([ 882.,  581.,  581., 9956.])]:[array([ 3531.,  5086.,  5086., 84705.])]:[array([10008.,  2890.,  2890.,  3894.])]:[array([ 1460.,   504.,   504., 19751.])]:[array([ 30311.,  31501.,  31501., 469556.])]:
[array([ 0., 54.,  0.,  0.])]:[array([ 347540.,  347540., 1218196.,  358773.])]:[array([ 4102.,  4102., 68934., 64059.])]:[array([ 2283.,  2283., 27426., 32730.])]:[array([ 581.,  581., 9956., 6714.])]:[array([ 5086.,  5086., 84705., 49542.])]:[array([ 2890.,  2890.,  3894., 34950.])]:[array([  504.,   504., 19751., 10404.])]:[array([ 31501.,  31501., 469556., 773671.])]:
