poorQuality,Attention,Meditation,Delta,Theta,lowAlpha, highAlpha,lowBeta,highBeta, lowGamma,midGamma
poorQuality,Attention,Meditation,Delta,Theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0,35,56,72612,88230,5443,151332,28251,12395,13387,1565,1, 27, 164, 1, 88, 166, 0, 21, 67, 2, 79, 36, 0, 110, 91, 0, 48, 107, 0, 52, 75, 0, 6, 29, 
0,37,60,7780,21259,12226,122220,24397,8299,21468,1516,0, 30, 100, 0, 83, 11, 0, 47, 194, 1, 221, 108, 0, 95, 77, 0, 32, 107, 0, 83, 220, 0, 5, 236, 
0,50,63,12912,15582,12860,93911,4463,11582,9171,2908,0, 50, 112, 0, 60, 222, 0, 50, 60, 1, 110, 215, 0, 17, 111, 0, 45, 62, 0, 35, 211, 0, 11, 92, 
0,48,87,25002,15282,25653,212372,19312,12453,4153,1796,0, 97, 170, 0, 59, 178, 0, 100, 53, 3, 61, 148, 0, 75, 112, 0, 48, 165, 0, 16, 57, 0, 7, 4, 
0,57,88,16383,18861,13964,81366,39921,14895,4256,3268,0, 63, 255, 0, 73, 173, 0, 54, 140, 1, 61, 214, 0, 155, 241, 0, 58, 47, 0, 16, 160, 0, 12, 196, 
0,54,70,306245,170694,6083,63250,19679,10248,11915,4304,4, 172, 69, 2, 154, 198, 0, 23, 195, 0, 247, 18, 0, 76, 223, 0, 40, 8, 0, 46, 139, 0, 16, 208, 
0,54,63,26234,19253,4340,85605,38676,9320,2876,3150,0, 102, 122, 0, 75, 53, 0, 16, 244, 1, 78, 101, 0, 151, 20, 0, 36, 104, 0, 11, 60, 0, 12, 78, 
0,64,48,24227,22032,8642,39104,19273,9366,4591,4082,0, 94, 163, 0, 86, 16, 0, 33, 194, 0, 152, 192, 0, 75, 73, 0, 36, 150, 0, 17, 239, 0, 15, 242, 
0,57,38,103167,23882,9848,2366,1838,2517,3960,1450,1, 146, 255, 0, 93, 74, 0, 38, 120, 0, 9, 62, 0, 7, 46, 0, 9, 213, 0, 15, 120, 0, 5, 170, 
0,74,40,60241,41352,19339,18266,37634,12808,5141,1988,0, 235, 81, 0, 161, 136, 0, 75, 139, 0, 71, 90, 0, 147, 2, 0, 50, 8, 0, 20, 21, 0, 7, 196, 
0,63,35,1272743,138139,25442,74333,25515,10128,26396,1573,19, 107, 167, 2, 27, 155, 0, 99, 98, 1, 34, 93, 0, 99, 171, 0, 39, 144, 0, 103, 28, 0, 6, 37, 
