Attention,Meditation,Delta,Theta,lowAlpha, highAlpha,lowBeta,highBeta,lowGamma,midGamma
38,40,39098,26797,29973,34918,10253,10425,11147,8940
30,35,595542,221495,64927,13967,16697,25139,10702,11976
60,26,177667,18653,28619,20388,10159,19600,13125,7275
75,34,951319,64617,20222,10423,10763,8879,3598,601
67,20,208004,10000,9407,261,15574,1467,1203,310
56,11,1049461,1383032,112525,52147,22575,54499,17336,11026
51,1,372321,80629,12460,11313,9631,19884,18620,13245
56,1,419737,86095,1215,34638,11551,17788,8584,4602
80,1,12097,8010,5675,9845,6846,12423,15779,7223
88,30,11292,3712,2648,7888,536,2842,3585,2035
