Attention,Meditation,Delta,Theta,lowAlpha, highAlpha,lowBeta,highBeta,lowGamma,midGamma
63,13,157944,9009,9064,13796,6659,6014,688,410
70,29,2775483,571813,128033,132126,36118,68513,9618,4461
56,21,256403,74781,7218,10268,1765,7011,1218,1298
34,38,3674156,321971,132732,74398,23311,20066,7769,3808
27,35,146441,23796,17264,10146,4201,5308,2048,1093
27,50,64846,33238,31488,43666,5916,9360,4919,9077
37,57,37302,59727,20550,11766,5461,15397,10864,2332
53,60,14726,18291,18802,4995,7576,7019,11750,6873
35,37,1076916,142313,10301,3059,10412,2769,4581,1174
44,20,93525,55187,35062,5504,31203,20870,5891,6041
