Attention,Meditation,Delta,Theta,lowAlpha, highAlpha,lowBeta,highBeta,lowGamma,midGamma
87,50,1283185,335486,71644,39428,71799,32259,118712,16951
63,83,427438,32461,5866,6002,3720,3102,18301,9092
48,100,1483605,56517,3470,18956,10391,7677,16671,9413
47,100,162117,9328,6950,9942,3240,2598,10093,8001
66,100,612755,14647,9910,8383,2905,5479,2123,450
88,100,90626,34427,9602,19027,6862,10158,9183,4992
81,84,342185,14791,2712,1413,1117,1582,1067,821
69,43,2120410,327679,28293,7333,30061,26283,4473,1939
47,8,253359,233394,16578,6220,16078,17119,72393,18006
10,1,1336821,761938,1837,33591,12706,23006,7705,14459
