Attention,Meditation,Delta,Theta,lowAlpha, highAlpha,lowBeta,highBeta,lowGamma,midGamma
34,75,2272970,167879,30488,48633,58010,28016,59333,14156
40,56,253743,198048,38552,27456,40343,27073,6217,4813
61,21,93932,21893,3186,12954,34144,22039,7066,5161
74,1,422716,44487,5422,10424,5297,10899,22691,12521
57,1,2753454,1062770,42495,54198,104586,28937,19887,7286
57,1,1312982,66502,13679,12222,11338,8289,3471,2358
48,34,586294,37191,1540,32207,28432,13915,11176,16122
60,47,55804,14703,4650,4914,11866,14143,7712,11296
67,56,623054,81360,6758,3493,1637,4935,5459,2687
81,74,34908,12063,7583,21625,9848,15410,35898,11307
