Attention,Meditation,Delta,Theta,lowAlpha, highAlpha,lowBeta,highBeta,lowGamma,midGamma
48,34,2436925,463717,55485,17217,44263,19571,15168,12032
67,43,87982,9445,10182,7731,13344,17000,23676,8643
57,44,1237306,231210,59480,7224,12434,13274,25606,6142
51,48,29560,42011,12995,14621,3719,11881,14341,7107
60,53,760869,147273,21597,11737,6952,18656,23160,8162
53,51,145440,212219,115305,87809,148289,140366,25061,7175
44,53,1098042,96034,16639,19197,4259,2575,1229,628
56,38,35339,22738,1509,4849,22455,13243,15243,10468
80,40,14117,37000,1514,19900,5692,33535,10633,3687
70,51,66656,6791,10408,2437,2082,3192,4401,2416
