Attention,Meditation,Delta,Theta,lowAlpha, highAlpha,lowBeta,highBeta,lowGamma,midGamma
70,51,104841,30913,8743,4833,8467,5790,7599,1701
70,43,14216,31980,1641,9664,8708,14759,10090,6175
93,44,39213,13433,763,8789,8646,14713,8050,4704
88,27,747732,140472,8978,4994,11284,8182,11647,3847
96,70,1545,12277,9209,134260,3874,13639,6665,7202
91,75,3894,18213,5655,32409,1417,54035,4569,1333
77,90,30151,11511,4951,47209,9447,18650,23106,15211
74,83,14870,26637,4901,24232,4625,19119,31229,5300
