Attention,Meditation,Delta,Theta,lowAlpha, highAlpha,lowBeta,highBeta,lowGamma,midGamma
30,21,120951,47560,13427,10918,3804,1626,734,427
26,29,23668,4448,1771,536,381,949,102,156
20,27,298048,290563,124357,77892,88293,62128,22679,7904
35,29,1504668,60014,15242,11595,14711,9729,1394,3076
43,35,212195,10786,7167,3826,2997,1076,1218,575
44,35,56851,59985,8279,28586,10631,13537,5372,6901
41,23,911855,351266,39428,13744,27746,34874,14208,6363
57,26,174117,17428,20175,3783,9138,27402,16701,3686
63,17,2352537,118803,21463,35827,43427,14873,15046,12949
66,23,81398,58884,34076,35474,12626,28732,20339,2998
