Attention,Meditation,Delta,Theta,lowAlpha, highAlpha,lowBeta,highBeta,lowGamma,midGamma
53,64,12925,4588,12416,20235,6295,6100,21712,2173
53,100,11630,15006,4347,93084,12693,5388,7689,2676
57,100,60754,43405,8428,59815,19658,16755,5298,3681
57,100,53000,37212,22805,26132,14269,5737,3943,1157
53,100,768199,6923,6157,4296,1186,1688,2251,497
69,88,13102,20096,1510,22598,10878,10995,8038,3387
83,83,1970,7035,2261,22131,13691,19242,12295,5942
88,88,105600,9962,4178,20504,2937,3687,2773,3073
