Attention,Meditation,Delta,Theta,lowAlpha, highAlpha,lowBeta,highBeta,lowGamma,midGamma
91,38,916563,183058,51462,144972,93855,33908,21935,11071
66,60,338806,12630,4078,1504,2338,994,1984,817
64,43,158645,78878,3496,14837,18726,12254,7483,4342
51,11,949699,212356,28890,7620,21157,19402,20451,10630
48,14,329097,40774,17176,27067,17909,13314,2578,14011
54,13,337885,51638,15548,4867,10264,4624,5991,16845
60,54,22738,11631,2734,39952,7593,7727,7040,13422
90,96,9325,5723,9672,39684,8567,17394,3675,15627
66,87,309394,95114,20646,44848,13448,15105,17219,10511
75,100,14686,46913,39217,30836,5601,12665,10138,7984
