Attention,Meditation,Delta,Theta,lowAlpha, highAlpha,lowBeta,highBeta,lowGamma,midGamma
66,27,30325,44234,6228,3396,5737,4092,1727,1849
74,38,16520,27988,7966,17543,5033,15148,9235,8772
70,57,45529,9008,12705,11900,5198,9601,14444,8708
87,48,27500,13725,3000,2054,2076,15043,8539,5765
91,60,3395845,305121,18923,145895,67737,74181,20972,7220
93,70,121366,7226,14363,8320,3420,8592,16380,4906
93,54,68650,9187,2391,3203,1244,4630,3202,1118
81,78,37430,72945,28875,50486,15313,23352,18995,4100
84,67,19995,36639,6884,5912,10917,14126,13010,16197
84,61,33408,31453,15702,30452,4424,24964,18693,7215
